POSTCODE,Number of meters,Consumption (kWh),Mean consumption (kWh),Median consumption (kWh)
W2 5HA,30,382551.92878,12751.730959,11960.435213
W2 5HL,20,205556.87438,10277.843719,8595.4500495
W2 5JF,31,315684.47082,10183.370026,6717.1117705
W2 5JG,9,52149.357072,5794.373008,732.93768546
W2 5JH,9,209357.07221,23261.896912,18886.251236
W2 5JJ,15,283201.78042,18880.118694,16154.302671
W2 5JL,30,250310.58358,8343.6861194,7698.3184965
W2 5JN,10,154887.24036,15488.724036,11720.07913
W2 5JP,41,244913.94659,5973.5108924,5853.6102868
W2 5JR,26,488450.04946,18786.540364,14085.558853
W2 5JS,21,466939.6637,22235.222081,20490.603363
W2 5JT,23,558837.78437,24297.294973,27150.346192
W2 5JU,9,66227.497527,7358.6108364,7936.6963403
W2 5LE,29,26808.110781,924.41761315,659.74282888
W2 5LF,17,5586.5479723,328.62046896,270.02967359
W2 5LH,53,443958.45697,8376.5746599,7451.0385757
W2 5LJ,46,393457.96241,8553.4339655,6333.8278932
W2 5LS,29,265725.02473,9162.9318872,6443.1256182
W2 5LT,15,410552.9179,27370.194527,24749.75272
W2 5LU,18,378765.57864,21042.532146,15961.918892
W2 5NA,68,605497.5272,8904.3754,7567.2601385
W2 5NJ,68,617138.47676,9075.5658346,8522.7497527
W2 5NS,29,260128.58556,8969.9512262,8271.0187933
W2 5NT,67,936910.97923,13983.745959,9339.2680514
W2 5NU,17,263083.08605,15475.47565,17408.506429
W2 5NX,9,81098.911968,9010.9902187,7846.6864491
W2 5PA,76,868008.90208,11421.169764,8423.8377844
W2 5PB,85,926925.81602,10905.0096,10364.985163
W2 5PH,28,927189.91098,33113.925392,35812.06726
W2 5PJ,21,322630.06924,15363.33663,8545.9940653
W2 5PL,23,496857.56677,21602.502903,23284.866469
W2 5PN,32,392790.30663,12274.697082,11341.246291
W2 5PU,66,730706.23145,11071.306537,10476.755687
W2 5PX,38,634073.19486,16686.136707,9812.0672601
W2 5QD,14,241335.31157,17238.236541,12891.691395
W2 5QH,27,416472.79921,15424.918489,9321.4638971
W2 5QP,51,367014.8368,7196.3693489,7043.5212661
W2 5QS,14,133200.7913,9514.3422354,7496.0435213
W2 5QT,28,407076.16222,14538.434365,10513.353116
W2 5QU,41,266774.48071,6506.6946515,5343.2245302
W2 5QX,79,751866.46884,9517.297074,7982.1958457
W2 5QZ,11,163519.28783,14865.389803,13277.942631
W2 5RA,11,107268.05143,9751.6410395,6368.9416419
W2 5RB,87,731090.99901,8403.3448162,6831.8496538
W2 5RQ,13,127707.22057,9823.6323518,5815.0346192
W2 5RT,7,96653.808111,13807.686873,14554.896142
W2 5RY,14,72949.554896,5210.6824926,4032.6409496
W2 5SB,30,324106.82493,10803.560831,6832.3442136
W2 5SE,6,72334.322453,12055.720409,10626.11276
W2 5TE,51,536929.7725,10528.034755,9668.644906
W2 5TH,6,111476.75569,18579.459281,12038.081108
W2 5TJ,37,294766.56775,7966.6639934,7036.5974283
W2 5TP,37,359693.3729,9721.4425108,9124.6290801
W2 5UA,11,69576.656775,6325.150616,5548.9614243
W2 5UB,29,264216.61721,9110.9178349,8471.810089
W2 5UD,12,83156.28091,6929.6900758,5320.9693373
W2 5UE,26,243576.65678,9368.3329529,8811.0781405
W2 5UF,24,216861.52324,9035.8968018,9176.0633037
W2 5UG,12,81820.969337,6818.4141114,6744.3125618
W2 5UH,91,642540.05935,7060.879773,5828.8822948
W2 5UL,19,168875.37092,8888.1774168,8085.0642928
W2 5UN,12,183660.73195,15305.060996,17432.739862
W2 5UP,23,188511.37488,8196.1467338,7339.2680514
W2 5UQ,31,317449.06034,10240.292269,8779.4263106
W2 5UR,19,198543.02671,10449.632985,9953.5113749
W2 5UT,5,61406.52819,12281.305638,12892.185955
W2 5UU,29,249052.42334,8588.014598,8303.6597428
W2 5UW,8,153681.50346,19210.187933,16538.081108
W2 5UX,18,193859.545,10769.974722,9962.9080119
W2 5UY,30,277721.06825,9257.3689416,8540.553907
W2 6AG,14,212323.44214,15165.960153,15663.699308
W2 6AH,7,142629.08012,20375.582874,10808.110781
W2 6AJ,118,1050989.1197,8906.6874549,7779.9208704
W2 6AL,12,4139.4658754,344.95548961,255.19287834
W2 6AN,96,850190.9001,8856.1552094,7380.3165183
W2 6AU,50,455023.73887,9100.4747774,7685.4599407
W2 6BA,11,130234.42136,11839.492851,11926.805143
W2 6BE,48,470742.82888,9807.1422684,8092.9772502
W2 6BH,11,77711.177052,7064.6524593,7017.8041543
W2 6BJ,17,147615.23244,8683.2489672,7091.9881306
W2 6BN,82,848013.84768,10341.632289,8567.2601385
W2 6DA,27,575671.61227,21321.170825,18284.866469
W2 6DE,24,240876.36004,10036.515002,9315.0346192
W2 6DG,34,717150.34619,21092.657241,16710.187933
